label,timestamp,duration,source,index
1,21240.685967,0.0,local,270
2,21252.448117,0.0,local,621
3,21259.150197,0.0,local,821
4,21261.931561,0.0,local,904
5,21276.810178,0.0,local,1346
6,21605.480181,0.0,local,10928
