label,timestamp,duration,source,index
1,42439.657979,0.0,local,286
2,42451.319599,0.0,local,620
3,42458.055189,0.0,local,821
4,42460.836552,0.0,local,904
5,42475.681659,0.0,local,1342
6,42804.418683,0.0,local,10979
