label,timestamp,duration,source,index
1,6048.111653,0.0,local,253
2,6059.873803,0.0,local,604
3,6066.609393,0.0,local,805
4,6069.390757,0.0,local,888
5,6084.235864,0.0,local,1321
6,6412.939377,0.0,local,10966
