label,timestamp,duration,source,index
1,55856.848617,0.0,local,296
2,55868.577257,0.0,local,646
3,55875.312847,0.0,local,846
4,55878.09421,0.0,local,929
5,55892.939317,0.0,local,1368
6,56221.609321,0.0,local,10791
