label,timestamp,duration,source,index
1,49372.364704,0.0,local,248
2,49384.059834,0.0,local,597
3,49390.761914,0.0,local,792
4,49393.576787,0.0,local,876
5,49408.421894,0.0,local,1319
6,49737.125408,0.0,local,11061
