timestamp,index,id,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
5031.312479,2,1,0.99,0.21197857856750488,0.5903943379720051,33.18617630004883,2d c++,67.83314514160156,98.30535888671875,22.902202606201172,33.18617630004883,48.05097198486328,,,,,,,,,,,,,,,,,,,,,
5031.320879,2,1,0.8025380577326454,0.11391092538833618,0.31584472656249996,71.45255279541016,2d c++,36.45149612426758,164.197265625,48.989112854003906,71.45255279541016,142.32205200195315,,,,,,,,,,,,,,,,,,,,,
5031.329279,3,1,0.0,0.0,1.0,0.0,2d c++,0.0,0.0,0.0,0.0,-90.0,,,,,,,,,,,,,,,,,,,,,
5031.337679,3,1,0.5022356272194826,0.1905609130859375,0.33951841990153,90.41809844970703,2d c++,60.9794921875,158.5155792236328,56.83476638793945,90.41809844970703,42.818763732910156,,,,,,,,,,,,,,,,,,,,,
5031.346079,3,1,0.0,0.0,1.0,0.0,2d c++,0.0,0.0,0.0,0.0,-90.0,,,,,,,,,,,,,,,,,,,,,
5031.354479,3,1,0.0,0.0,1.0,0.0,2d c++,0.0,0.0,0.0,0.0,-90.0,,,,,,,,,,,,,,,,,,,,,
5031.362879,4,1,0.6802661596539429,0.10777794122695923,0.2756198883056641,62.041236877441406,2d c++,34.48894119262695,173.85122680664062,41.2713737487793,62.041236877441406,170.30690002441406,,,,,,,,,,,,,,,,,,,,,
5031.371279,4,1,0.0,0.0,1.0,0.0,2d c++,0.0,0.0,0.0,0.0,-90.0,,,,,,,,,,,,,,,,,,,,,
5031.379679,4,1,0.0,0.0,1.0,0.0,2d c++,0.0,0.0,0.0,0.0,-90.0,,,,,,,,,,,,,,,,,,,,,
5031.388079,4,1,0.6536486986129656,0.13928247690200807,0.2606470108032226,36.58642578125,2d c++,44.57039260864258,177.44471740722656,11.552785873413086,36.58642578125,4.85399866104126,,,,,,,,,,,,,,,,,,,,,
5031.396479,5,1,0.8866343508792334,0.06513903737068176,0.2606234868367513,21.499671936035156,2d c++,20.844491958618164,177.4503631591797,14.234105110168457,21.499671936035156,139.1710968017578,,,,,,,,,,,,,,,,,,,,,
5031.404879,5,1,0.5591055835208152,0.08100473284721374,0.25593694051106775,26.771278381347656,2d c++,25.9215145111084,178.57513427734375,15.14455795288086,26.771278381347656,112.19966888427734,,,,,,,,,,,,,,,,,,,,,
5031.413279,5,1,0.8479828913815496,0.10774779319763184,0.2691048304239909,33.3922004699707,2d c++,34.47929382324219,175.4148406982422,18.90215492248535,33.3922004699707,54.9103889465332,,,,,,,,,,,,,,,,,,,,,
5031.421679,5,1,0.7572380338808571,0.10884684324264526,0.26954619089762366,35.21744918823242,2d c++,34.830989837646484,175.3089141845703,19.06050682067871,35.21744918823242,52.162227630615234,,,,,,,,,,,,,,,,,,,,,
5031.430079,6,1,0.775608660959001,0.10884742736816407,0.2685615539550781,37.213226318359375,2d c++,34.8311767578125,175.54522705078125,18.699604034423828,37.213226318359375,48.751426696777344,,,,,,,,,,,,,,,,,,,,,
5031.438479,6,1,0.0,0.0,1.0,0.0,2d c++,0.0,0.0,0.0,0.0,-90.0,,,,,,,,,,,,,,,,,,,,,
5031.446879,6,1,0.907409873113155,0.1271536111831665,0.31520303090413415,32.1706428527832,2d c++,40.68915557861328,164.3512725830078,20.002086639404297,32.1706428527832,31.511190414428725,,,,,,,,,,,,,,,,,,,,,
5031.455279,6,1,0.99,0.09597004055976868,0.40674495697021484,22.63258934020996,2d c++,30.710412979125977,142.38121032714844,15.688350677490234,22.63258934020996,110.53176879882812,,,,,,,,,,,,,,,,,,,,,
5031.463679,7,1,0.9765952035002486,0.09581691026687622,0.4135083516438802,22.499359130859375,2d c++,30.66141128540039,140.75799560546875,18.46973419189453,22.499359130859375,120.58255767822266,,,,,,,,,,,,,,,,,,,,,
5031.472079,7,1,0.887815294996759,0.10524499416351318,0.3292378107706706,62.313697814941406,2d c++,33.67839813232422,160.98292541503906,36.9042854309082,62.313697814941406,45.41803741455078,,,,,,,,,,,,,,,,,,,,,
5031.480479,7,1,0.5870999936414725,0.11209719181060791,0.16125214894612627,26.720115661621094,2d c++,35.87110137939453,201.2994842529297,14.139383316040039,26.720115661621094,93.41251373291016,,,,,,,,,,,,,,,,,,,,,
5031.488879,7,1,0.0,0.0,1.0,0.0,2d c++,0.0,0.0,0.0,0.0,-90.0,,,,,,,,,,,,,,,,,,,,,
5031.497279,8,1,0.6629712603736839,0.18262293338775634,0.4677669525146484,57.797119140625,2d c++,58.43933868408203,127.73593139648438,34.60814666748047,57.797119140625,44.29313659667966,,,,,,,,,,,,,,,,,,,,,
5031.505679,8,1,0.5133028538648141,0.08912440538406372,0.45744222005208335,60.93567657470703,2d c++,28.51980972290039,130.2138671875,28.13124656677246,60.93567657470703,59.318260192871094,,,,,,,,,,,,,,,,,,,,,
5031.514079,8,1,0.6600493535420902,0.20064352750778197,0.4884363810221354,51.347511291503906,2d c++,64.20592880249023,122.7752685546875,44.46907424926758,51.347511291503906,61.55870056152344,,,,,,,,,,,,,,,,,,,,,
