label,timestamp,duration,source,index
1,57441.845755,0.0,local,215
2,57453.607905,0.0,local,566
3,57460.309985,0.0,local,758
4,57463.091348,0.0,local,839
5,57477.969966,0.0,local,1280
6,57806.606459,0.0,local,11003
