label,timestamp,duration,source,index
1,78748.399257,0.0,local,314
2,78760.161407,0.0,local,665
3,78766.896998,0.0,local,866
4,78769.644851,0.0,local,932
5,78784.523468,0.0,local,1376
6,79113.226982,0.0,local,10615
