label,timestamp,duration,source,index
1,54802.644943,0.0,local,216
2,54814.373583,0.0,local,566
3,54821.075663,0.0,local,766
4,54823.890537,0.0,local,850
5,54838.668623,0.0,local,1272
6,55167.405647,0.0,local,10988
