label,timestamp,duration,source,index
1,54279.782172,0.0,local,496
2,54291.510812,0.0,local,846
3,54298.246403,0.0,local,1047
4,54301.027766,0.0,local,1130
5,54315.872873,0.0,local,1572
6,54644.576387,0.0,local,11322
