label,timestamp,duration,source,index
1,21772.764098,0.0,local,277
2,21784.459228,0.0,local,626
3,21791.127797,0.0,local,825
4,21793.942671,0.0,local,909
5,21808.787778,0.0,local,1352
6,22137.591823,0.0,local,10797
