label,timestamp,duration,source,index
1,8627.936973,0.0,local,313
2,8640.201779,0.0,local,679
3,8646.93737,0.0,local,880
4,8649.685223,0.0,local,962
5,8664.56384,0.0,local,1404
6,8993.267354,0.0,local,11172
