label,timestamp,duration,source,index
1,9122.081331,0.0,local,278
2,9133.843482,0.0,local,629
3,9140.545562,0.0,local,829
4,9143.360435,0.0,local,913
5,9158.205543,0.0,local,1356
6,9486.909056,0.0,local,11122
